compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_voigt
C2Tb1,aflow:d97a0bdb9ebbf74f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/C2Tb1_ICSD_17025,139,tI6,119.72
Cd2S2,aflow:d9281c78b832ba65,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cd1S1_ICSD_154186,186,hP4,55.2833
H2Th1,aflow:d93c48d123874c8a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/H2Th1_ICSD_180580,139,tI6,93.713
Pb3Rh3,aflow:d9025f4ef0190245,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Pb1Rh1_ICSD_105607,191,hP6,111.189
Cu1Zn1,aflow:d948b9cda2010f3b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cu1Zn1_ICSD_103152,221,cP2,105.444
Ru4Te8,aflow:d90d70c8e075ebdf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ru1Te2_ICSD_24188,205,cP12,104.628
Ho2Te4,aflow:d9b7a62ca2362fdc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ho1Te2_ICSD_639765,129,tP6,59.4667
In1Pt3,aflow:d9f193b3d3226bcf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/In1Pt3_ICSD_56260,221,cP4,197.011
Mo6Os2,aflow:d91b3b3427a6cfa7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mo3Os1_ICSD_105054,223,cP8,287.828
B4V3,aflow:da95f17820b9c395,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/B4V3_ICSD_615659,71,oI14,268.639
Ca24N16,aflow:dadad3c847ce3cfa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ca3N2_ICSD_169725,206,cI80,67.1611
Ca10Sb6,aflow:da7bbf2f9ae5f54f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ca5Sb3_ICSD_173026,193,hP16,38.1926
Ge14Ir6,aflow:da5f54bab20c2a26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ge7Ir3_ICSD_53656,229,cI40,146.483
H8Mg4,aflow:dabdb8650bc95d95,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/H2Mg1_ICSD_155809,62,oP12,64.3278
Au2Be1,aflow:da9e30cd2712e2a0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Au2Be1_ICSD_150581,139,tI6,128.87
Ho1Sn3,aflow:da9e4e5b7d760fce,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ho1Sn3_ICSD_104449,221,cP4,56.6611
N1Ta1,aflow:dbcfb446e993083a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Ta1_ICSD_167806,225,cF8,320.172
Dy1Rh5,aflow:dbd2d540900f8890,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1Rh5_ICSD_103363,191,hP6,181.411
Mo3Ti1,aflow:dbd2b2ac1b4a0bab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Mo3Ti1_ICSD_168952,71,oI8,212.269
Ir8Sc16,aflow:db1d3b4d67ef508f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir1Sc2_ICSD_657999,227,cF96,111.194
Ir2Nb6,aflow:dbaf10591325ea9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ir1Nb3_ICSD_104512,223,cP8,221.783
Cd1Te1,aflow:db3c099649cd0199,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd1Te1_ICSD_108238,216,cF8,36.3556
Co1Nb1,aflow:db48679b83790b93,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Co1Nb1_ICSD_187977,221,cP2,183.8
Si10Sr10,aflow:dbb92a31d1be602f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Si1Sr1_ICSD_42140,71,oI40,41.35
La2N2,aflow:dbbdd07b9ddfc154,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/La1N1_ICSD_162195,186,hP4,91.262
Be1O1,aflow:db1f17a6f945c29b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be1O1_ICSD_163467,216,cF8,207.65
Pt3Tb1,aflow:db7c48749ff64360,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pt3Tb1_ICSD_105808,221,cP4,172.489
Sb1U1,aflow:db13ea3b9590ef07,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sb1U1_ICSD_603013,225,cF8,51.0611
Ca4H8,aflow:dc3474a72a85b760,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca1H2_ICSD_155987,62,oP12,47.3852
B12Dy1,aflow:dc7abd798c5a98a3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Dy1_ICSD_613592,225,cF52,218.267
Mn8Sc4,aflow:dcdc418183662f8f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mn2Sc1_ICSD_643548,194,hP12,57.5463
Pb1Te1,aflow:dcdbde34e53a534d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1Te1_ICSD_153711,225,cF8,39.4722
Dy1Rh1,aflow:dc3395dafe10aed5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Dy1Rh1_ICSD_103359,221,cP2,114.672
N1Tl1,aflow:dcaf4176e82fe702,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Tl1_ICSD_184575,216,cF8,89.8278
B4Ru2,aflow:dc8d0fde8d1419c2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Ru1_ICSD_31871,59,oP6,285.731
C1Nb1,aflow:dc96ddaddb6c935b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_155164,225,cF8,298.683
In3La1,aflow:dc7926de3a9c5fc7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/In3La1_ICSD_51952,221,cP4,56.1778
Al4Tb2,aflow:dc92e67eac0bcd21,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al2Tb1_ICSD_169026,227,cF24,79.4667
B12Y1,aflow:dcb115cc81848caa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Y1_ICSD_23860,225,cF52,217.678
C19Si19,aflow:dcff963bbddaf43f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_27635,156,hP38,212.906
Pu1S1,aflow:dd2ae2182eac1e6d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pu1S1_ICSD_105869,225,cF8,78.9611
Al2Hf4,aflow:dd8fe80eb93c30d7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1Hf2_ICSD_150773,140,tI12,112.33
Cs8Te20,aflow:ddaf3178e207a10c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Cs2Te5_ICSD_36017,63,oS28,12.4019
N8Zr6,aflow:dd82f8ad72eea18b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/N4Zr3_ICSD_97998,220,cI28,205.144
C1Ti1,aflow:dd9ba1426a59901e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ti1_ICSD_151365,225,cF8,238.772
Al3V1,aflow:dd93dda0b9957fba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al3V1_ICSD_151104,139,tI8,122.702
