compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_reuss
C8W4Y4,aflow:416cce9b259354f7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/C2W1Y1_ICSD_619103,62,oP16,206.894
P4Ru4Zr4,aflow:57c5847cc0292890,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Ru1Zr1_ICSD_648038,62,oP12,206.969
P3Ru3Zr3,aflow:6adbf353975fc978,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Ru1Zr1_ICSD_648037,189,hP9,207.033
Na1O3W1,aflow:059e23974aa9d010,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Na1O3W1_ICSD_28343,221,cP5,207.067
Os8Tb4,aflow:babbcefb6d3e18cc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Os2Tb1_ICSD_647822,194,hP12,207.293
Lu1Pt3,aflow:9a295f92980b2118,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Lu1Pt3_ICSD_104820,221,cP4,207.483
Be2C1,aflow:378e092c24555651,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be2C1_ICSD_183009,225,cF12,207.489
P2Rh3,aflow:8b865786bfa43010,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/P2Rh3_ICSD_35626,115,tP5,207.556
Li1Pt7,aflow:ced3dcb9433e147f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li1Pt7_ICSD_104779,225,cF32,207.578
Be1O1,aflow:db1f17a6f945c29b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be1O1_ICSD_163467,216,cF8,207.65
N1Pd1,aflow:80f57ee927a98907,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Pd1_ICSD_183193,225,cF8,207.717
Pd3Ta1,aflow:e3a096724df20a7e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pd3Ta1_ICSD_105709,139,tI8,207.721
B8Ho4Os4,aflow:ea8e48a908aa89ff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Ho1Os1_ICSD_614489,62,oP16,207.888
Ni2Ta1,aflow:e0adf8f7e59398df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni2Ta1_ICSD_105388,139,tI6,207.91
B8Dy4Os4,aflow:217f0084d01f230e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Dy1Os1_ICSD_613666,62,oP16,207.981
Pt3Zn1,aflow:b6222a2c31f1c887,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pt3Zn1_ICSD_105853,221,cP4,207.989
Fe2Ga1V1,aflow:1346268dae1d4e13,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Fe2Ga1V1_ICSD_103473,225,cF16,207.994
B24Os4Y8,aflow:83ea8af9adb8c724,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B6Os1Y2_ICSD_603494,55,oP36,208.095
Co4Nb4P4,aflow:ea0f04663dcf1c6c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Nb1P1_ICSD_49727,62,oP12,208.103
Be2O2,aflow:37fc98b9f1d34d7c,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/Be_svO/AB_hP4_186_b_b-001.AB,186,hP4,208.295
Ge3Hf3Os3,aflow:4ece059f675bd372,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ge1Hf1Os1_ICSD_636578,189,hP9,208.519
P1Pt5Zn1,aflow:9ab0972f231a4427,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/P1Pt5Zn1_ICSD_647976,123,tP7,208.6
C2Ge6Mo10,aflow:86678e9b842527f4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Ge3Mo5_ICSD_42922,193,hP18,208.601
Be1Rh1,aflow:0d4c2a40fe143a57,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Be1Rh1_ICSD_58734,221,cP2,208.917
Os8Y4,aflow:c85391284698bd42,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Os2Y1_ICSD_647871,194,hP12,209.012
B12Ni1,aflow:9f75cf9217bb5e3b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B12Ni1_ICSD_614986,225,cF52,209.072
Ga2Pt6,aflow:b3cf124c3e219106,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ga1Pt3_ICSD_635145,140,tI16,209.077
O6V4,aflow:abeae41c22af6ad7,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/OV_sv/A2B3_hR10_167_c_e-002.BA,146,hR10,209.23
Ir4U2,aflow:f958850a678420df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2U1_ICSD_104586,227,cF24,209.944
Ge4Rh4Ta4,aflow:10be12d509ddb46f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Rh1Ta1_ICSD_421092,62,oP12,210.001
Mo6Sn2,aflow:fb311837ec527cc2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mo3Sn1_ICSD_105094,223,cP8,210.317
Mo1P1,aflow:74c1c2f9814eded1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mo1P1_ICSD_186874,187,hP2,210.33
C8Pu4W4,aflow:f68de4d2dee5d075,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/C2Pu1W1_ICSD_618691,62,oP16,210.381
Pd2Ta1,aflow:1311b90ba3307354,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Pd2Ta1_ICSD_105708,71,oI6,210.437
As4Rh8,aflow:bfa3ece0a71a91e2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/As1Rh2_ICSD_603878,62,oP12,210.832
Ru1Ti1,aflow:80cba77e1024009d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ru1Ti1_ICSD_106004,221,cP2,210.844
O8Pt6,aflow:05c3474a8625fbd6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O4Pt3_ICSD_30444,223,cP14,210.867
C1Pd1,aflow:fea5bd3abdf35cf1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pd1_ICSD_181774,225,cF8,210.867
Al1Fe2V1,aflow:7f1780b1dbf49454,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Fe2V1_ICSD_107814,225,cF16,210.978
Be6N4,aflow:77c1db08e0f04814,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Be3N2_ICSD_25656,194,hP10,211.013
Ge6Mo10,aflow:515f51814759ca2d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ge3Mo5_ICSD_637142,140,tI32,211.199
Si2Ta4,aflow:832c3433519dc103,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Si1Ta2_ICSD_42526,140,tI12,211.222
Os4Si4Zr4,aflow:3c863fb6f8c37ac7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Os1Si1Zr1_ICSD_647807,62,oP12,211.272
Al1Ni2V1,aflow:fe69d06cda3e367a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Ni2V1_ICSD_58071,225,cF16,211.389
C1Rh3Sc1,aflow:d5b672c7928a8d6a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Rh3Sc1_ICSD_77385,221,cP5,211.456
Ga1Pt3,aflow:f1c0d23f9135e933,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ga1Pt3_ICSD_103922,221,cP4,211.667
Pt2V6,aflow:27616718e118dbf4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pt1V3_ICSD_105837,223,cP8,212.061
Dy4Os8,aflow:6ce493e125bf956a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1Os2_ICSD_630052,194,hP12,212.178
W4Zr2,aflow:863885947f98efdd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/W2Zr1_ICSD_106217,227,cF24,212.211
Hf1Ru3,aflow:132ec9e3a0bdf7cc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hf1Ru3_ICSD_185647,221,cP4,212.278
C1Si1,aflow:2cab0c35952c733f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Si1_ICSD_164973,216,cF8,212.356
Hf4Ir4Si4,aflow:627f53c41a18dd24,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Hf1Ir1Si1_ICSD_638584,62,oP12,212.386
Nb1Ru1,aflow:58f2fa6442546815,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb1Ru1_ICSD_105221,221,cP2,212.494
Ga1P1Pt5,aflow:25528b361849601b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ga1P1Pt5_ICSD_635044,123,tP7,212.521
Mn2Sn1W1,aflow:dc4a8cdea27c1b5c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2Sn1W1_ICSD_104980,225,cF16,212.522
Al2C6V8,aflow:fc6f33327f7d235d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al1C3V4_ICSD_163549,194,hP16,212.584
C8Si8,aflow:6db975da951495ba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_24630,186,hP16,212.66
Ge6N8,aflow:4671a38f1790901e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge3N4_ICSD_156338,227,cF56,212.694
C6Si6,aflow:059e25f57cc58053,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_15325,186,hP12,212.715
C21Si21,aflow:1cf77fe9d7170820,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_43827,156,hP42,212.734
Os1Zr1,aflow:a36bd88304037b89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1Zr1_ICSD_105580,221,cP2,212.794
C14Si14,aflow:1f21e330dfcd0965,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_28303,156,hP28,212.843
C19Si19,aflow:dcff963bbddaf43f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_27635,156,hP38,212.872
C10Si10,aflow:500ca05581547ef1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_38150,156,hP20,212.969
Nb4P4V4,aflow:9fc310962985d217,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1P1V1_ICSD_645178,62,oP12,212.983
Fe2V6,aflow:aa251335690bc0b5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Fe1V3_ICSD_634028,223,cP8,213.006
C2Si2,aflow:19570f9ac6a9e4de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_164970,186,hP4,213.043
N2P2V6,aflow:3c22a9e15877a37f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/N1P1V3_ICSD_644620,63,oS20,213.133
C4Si4,aflow:19345a101fc7f670,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_164971,186,hP8,213.137
Ru4Si4,aflow:7f54980b082ef490,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ru1Si1_ICSD_650618,198,cP8,213.195
Os4Th2,aflow:64bb74c859cb6716,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Os2Th1_ICSD_105570,227,cF24,213.228
C16Si16,aflow:bbef4567d359bebd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_42858,186,hP32,213.383
Co4Si4V4,aflow:df85384f61a789ba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Si1V1_ICSD_409847,62,oP12,213.436
C18Si18,aflow:c9df5d1184d1640f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_42859,156,hP36,213.463
Rh2V6,aflow:622e7ac118e3c7e2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh1V3_ICSD_105965,223,cP8,213.611
O8Ti4,aflow:317af56146e51eaf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O2Ti1_ICSD_15328,60,oP12,213.647
Si2W1,aflow:2d039e1be6afed3b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Si2W1_ICSD_26869,139,tI6,213.699
Tc8Zr4,aflow:6547651e77951662,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Tc2Zr1_ICSD_423221,194,hP12,213.725
Nb2Pt2,aflow:02606407b3d5e7ab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1Pt1_ICSD_645211,51,oP4,213.869
Rh3Zr1,aflow:b6449ed4840e19f6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh3Zr1_ICSD_105984,221,cP4,214.083
Ni2P2Ta8,aflow:d59c6ae99050de55,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ni1P1Ta4_ICSD_646156,124,tP12,214.116
Ca4O12Si4,aflow:3fe9b288117abbf6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ca1O3Si1_ICSD_240446,204,cI40,214.132
Ce4Os8,aflow:14ef2ceb1efd3e9e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ce1Os2_ICSD_621725,194,hP12,214.176
Be24N16,aflow:8204362754020838,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Be3N2_ICSD_412667,206,cI80,214.235
Ca4O12Si4,aflow:aba814a45970107d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca1O3Si1_ICSD_240466,62,oP20,214.345
Pt8V1,aflow:1ace57109680199f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pt8V1_ICSD_180978,139,tI18,214.682
Mg1P1Pt5,aflow:633c61cbece8044f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Mg1P1Pt5_ICSD_44928,123,tP7,214.696
N4Ta2,aflow:ed055aed0cbbe98a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N4Ta2_ICSD_182351,191,hP6,214.716
Hf2O8Si2,aflow:88c9119ec9572f57,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Hf1O4Si1_ICSD_187732,141,tI24,214.761
Ca2O6Si2,aflow:cc315d932b359d19,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ca1O3Si1_ICSD_240430,127,tP10,214.781
B1Rh3Zr1,aflow:18d412c6947b5394,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1Rh3Zr1_ICSD_615353,221,cP5,214.928
Ca1O3Si1,aflow:cc56846288079507,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ca1O3Si1_ICSD_240406,221,cP5,215.028
H1Rh1,aflow:160dff9783f1d0c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/H1Rh1_ICSD_56168,225,cF8,215.047
O6Ti4,aflow:134fbf81d7c6f9be,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/OTi_sv/A2B3_hR10_167_c_e-001.BA,167,hR10,215.245
O6Ti4,aflow:134fbf81d7c6f9be,aflowlib.duke.edu:AFLOWDATA/LIB2_RAW/OTi_sv/A2B3_hR10_167_c_e-001.BA,167,hR10,215.245
Co2P2Ta8,aflow:82ec400bb107b013,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Co1P1Ta4_ICSD_624637,124,tP12,215.646
